,authors,ArticleTitle,journal_title,volume,date,pubmed,doi_pii_str,abstract
10,"S. Xu, Y. Xu, X. Cheng, C. Huang, Y. Pan, S. Jin, W. Xiong, L. Zhang, S. He and Y. Zhang, ","""Inhibition of DRG-TRPV1 upregulation in myocardial ischemia contributes to exogenous cardioprotection."", ",Journal of molecular and cellular cardiology ,138 ,(Jan. 2020). ,PUBMED: 31836538; ,DOI 10.1016/j.yjmcc.2019.12.003.,"Myocardium ischemia-reperfusion injury (IRI) is the major cause of postoperative cardiac dysfunction. While intrathecal morphine preconditioning (ITMP) can reduce IRI in animals, the molecular processes underlying IRI and ITMP remain elusive. Transient receptor potential vanilloid type 1 (TRPV1) is highly expressed in cardiac sensory neurons and has a crucial role in detecting myocardial ischemia. This study aimed to determine the role of up-regulated dorsal root ganglion (DRG)-TRPV1 in IRI and whether its inhibition contributes to ITMP-induced cardioprotection. Animal model of IRI was established by left coronary artery occlusion (30 min) and reperfusion (2 h) in rats. Intrathecal intubation was prepared for morphine preconditioning, TRPV1-shRNA or selective TRPV1 antagonist administration. After IRI, both protein and phosphorylation levels of TRPV1 were significantly increased, and the immunofluorescence intensity of TRPV1 was increased and colocalized with μ-opioid receptors in DRG. Intrathecal pre-administration of either TRPV1-shRNA or TRPV1 antagonist significantly reduced myocardial injury and the upregulation of TRPV1 in DRG induced by IRI. Simultaneously, ITMP significantly suppressed TRPV1 protein expression and phosphorylation in DRG, as well as the heart infarct size and arrhythmia score caused by IRI. The suppression of TRPV1 elevation and activation by ITMP were reversed by intrathecal injection of the selective μ receptor antagonist. Furthermore, IRI elevated DRG cAMP, while intrathecal administration of the selective cAMP-PKA inhibitor reduced myocardial injury. Finally, we showed that activation of opioid receptor by morphine inhibited PKA activator-induced TRPV1 channel activity at the cellular level. These findings suggest that the elevation and activation of TRPV1 in DRG during myocardial ischemia-reperfusion might be responsible for cardiac injury. ITMP exerts cardioprotection by inhibiting DRG-TRPV1 activity via modulation cAMP. Therefore, inhibition of TRPV1 upregulation in DRG might be used as a novel therapeutic mechanism for myocardium ischemia-reperfusion injury."
11,"LW. Hong and KT. Chen, ","""A real-world evidence of a consecutive treatment of 42 spine-related pain using dorsal root ganglion-pulsed radiofrequency (DRG-PRF)."", ",Clinical neurology and neurosurgery ,197 ,(Oct. 2020). ,PUBMED: 32916395; ,DOI 10.1016/j.clineuro.2020.106186.,"Spine-related pain is oftentimes not managed satisfactorily by analgesic medications and physiotherapy. Pulsed radiofrequency targeting on dorsal root ganglion (DRG-PRF) is able to precisely relieve pain without permanent damage to nervous tissue. In this article, we provide a short-term result of DRG-PRF for spine-related pain."
12,"M. Hopfe, G. Stucki, JE. Bickenbach and B. Prodinger, ","""Accounting for What Matters to Patients in the G-DRG System: A Stakeholder's Perspective on Integrating Functioning Information."", ",Health services insights ,11 ,(2018). ,PUBMED: 30202209; ,DOI 10.1177/1178632918796776.,"Functioning information constitutes a relevant component for determining patients' service needs and respective resource use. Diagnosis-Related Group (DRG) systems can be optimized by integrating functioning information. First steps toward accounting for functioning information in the German DRG (G-DRG) system have been made; yet, there is no systematic integration of functioning information. The G-DRG system is part of the health system; it is embedded in and as such dependent on various stakeholders and vested interests. This study explores the stakeholder's perspective on integrating functioning information in the G-DRG system. A qualitative interview study was conducted with national stakeholders in 4 groups of the G-DRG system (health policy, administration, development, and consultations). Interviews were analyzed using inductive thematic analysis. In total, 14 interviews were conducted (4 administration and 10 consultation group). Three main themes were identified: (1) functioning information in the G-DRG system: opportunities and obstacles, (2) general aspects concerning optimizing G-DRG systems by integrating additional information, and (3) ideas and requirements on how to proceed. The study offers insights into the opportunities and obstacles of integrating functioning information in the G-DRG system. The relevance of functioning information was evident. However, the value of functioning information for the G-DRG system was seen critically. Integrating functioning information alone does not seem to be sufficient and a systems approach is needed."
13,"J. Zhang, Y. Harada and Y. Hayashi, ","""A TLR-CXCL1 pathway in DRG neurons induces neutrophil accumulation in the DRG and mechanical allodynia in EAE mice."", ",Scientific reports ,9(1) ,(Aug. 2019). ,PUBMED: 31427756; ,DOI 10.1038/s41598-019-48558-7.,"Multiple sclerosis (MS) is a potentially disabling disease of the central nervous system. Approximately half of the patients with MS experience severe pain; however, currently available therapeutics provide only insufficient relief. The mechanisms underlying the generation of neuropathic pain in patients with MS are not fully understood. Recently, we found that neutrophil elastase from accumulated neutrophils in the dorsal root ganglion (DRG) sensitizes DRG neurons and induces mechanical allodynia in a mouse model of experimental autoimmune encephalomyelitis (EAE). However, the mechanism underlying neutrophil accumulation in the DRG after myelin oligodendrocyte glycoprotein (MOG35-55, immunogenic peptide) immunization remains unclear. Here, we found that C-X-C motif ligand 1 (CXCL1) was upregulated in DRG neurons after MOG35-55 immunization. Increased expression of CXCL1 protein was also observed in primary cultured DRG neurons treated with MOG35-55, which was mediated through toll-like receptor 4 (TLR4). Gene silencing of TLR4 or CXCL1 in DRG neurons significantly attenuated neutrophil accumulation in the DRG and mechanical allodynia during the preclinical phase of EAE (around day 5 after immunization). Our results thus suggest that a TLR4-CXCL1 pathway in DRG neurons triggers neutrophil recruitment in the DRG and subsequent mechanical allodynia in response to MOG35-55."
14,"T. Guo, Z. Bian, K. Trocki, L. Chen, G. Zheng and B. Feng, ","""Optical recording reveals topological distribution of functionally classified colorectal afferent neurons in intact lumbosacral DRG."", ",Physiological reports ,7(9) ,(May. 2019). ,PUBMED: 31087524; ,DOI 10.14814/phy2.14097.,"Neuromodulation as a non-drug alternative for managing visceral pain in irritable bowel syndrome (IBS) may target sensitized afferents of distal colon and rectum (colorectum), especially their somata in the dorsal root ganglion (DRG). Developing selective DRG stimulation to manage visceral pain requires knowledge of the topological distribution of colorectal afferent somata which are sparsely distributed in the DRG. Here, we implemented GCaMP6f to conduct high-throughput optical recordings of colorectal afferent activities in lumbosacral DRG, that is, optical electrophysiology. Using a mouse ex vivo preparation with distal colorectum and L5-S1 DRG in continuity, we recorded 791 colorectal afferents' responses to graded colorectal distension (15, 30, 40, and 60 mmHg) and/or luminal shear flow (20-30 mL/min), then functionally classified them into four mechanosensitive classes, and determined the topological distribution of their somata in the DRG. Of the 791 colorectal afferents, 90.8% were in the L6 DRG, 8.3% in the S1 DRG, and only 0.9% in the L5 DRG. L6 afferents had all four classes: 29% mucosal, 18.4% muscular-mucosal, 34% low-threshold (LT) muscular, and 18.2% high-threshold (HT) muscular afferents. S1 afferents only had three classes: 19.7% mucosal, 34.8% LT muscular, and 45.5% HT muscular afferents. All seven L5 afferents were HT muscular. In L6 DRG, somata of HT muscular afferents were clustered in the caudal region whereas somata of the other classes did not cluster in specific regions. Outcomes of this study can directly inform the design and improvement of next-generation neuromodulation devices that target the DRG to alleviate visceral pain in IBS patients."
15,"J. Roh, SM. Hwang, SH. Lee, K. Lee, YH. Kim and CK. Park, ","""Functional Expression of Piezo1 in Dorsal Root Ganglion (DRG) Neurons."", ",International journal of molecular sciences ,21(11) ,(May. 2020). ,PUBMED: 32481599; ,DOI 10.3390/ijms21113834.,"Piezo channels are mechanosensitive ion channels. Piezo1 is primarily expressed in nonsensory tissues, whereas Piezo2 is predominantly found in sensory tissues, including dorsal root ganglion (DRG) neurons. However, a recent study demonstrated the intracellular calcium response to Yoda1, a selective Piezo1 agonist, in trigeminal ganglion (TG) neurons. Herein, we investigate the expression of Piezo1 mRNA and protein in mouse and human DRG neurons and the activation of Piezo1 via calcium influx by Yoda1. Yoda1 induces inward currents mainly in small- (< 25 μm) and medium-sized (25-35 μm) mouse DRG neurons. The Yoda1-induced Ca2+ response is inhibited by cationic channel blocker, ruthenium red and cationic mechanosensitive channel blocker, GsMTx4. To confirm the specific inhibition of Piezo1, we performed an adeno-associated virus serotype 2/5 (AAV2/5)-mediated delivery of short hairpin RNA (shRNA) into mouse DRG neurons. AAV2/5 transfection downregulates piezo1 mRNA expression and reduces Ca2+ response by Yoda1. Piezo1 also shows physiological functions with transient receptor potential vanilloid 1 (TRPV1) in the same DRG neurons and is regulated by the activation of TRPV1 in mouse DRG sensory neurons. Overall, we found that Piezo1 has physiological functions in DRG neurons and that TRPV1 activation inhibits an inward current induced by Yoda1."
16,"MM. Lerch, M. Rathmayer, B. Siegmund, M. Wilke, H. Wedemeyer, A. Stallmach, J. Mayerle and F. Lammert, ","""Limits of the G-DRG system to reflect Complexity in German University Hospitals."", ",Zeitschrift fur Gastroenterologie ,58(8) ,(Aug. 2020). ,PUBMED: 32698232; ,DOI 10.1055/a-1219-8245.,"Since the introduction of the G-DRG-system in Germany for the reimbursement of in-hospital patients in 2003 the Institute for the Hospital Remuneration System (InEK) annually determines case reimbursements for currently 1300 individual diagnosis-related groups (DRGs). These are based on the cost documentation of 200 representative hospitals, coopted by InEK (§ 21-KHEntG-dataset). Since DRGs represent cost averages, one half of German hospitals would be expected to report an annual income surplus, the other half a deficit. In spite of sustained cost reductions two thirds of public University Hospitals, but only 29 % of non-University hospitals, report annual deficits. The German Society for Gastroenterology, Digestive and Metabolic Diseases (DGVS) has obtained the § 21-cost-dataset from 74 InEK-hospitals and 7 Mio anonymized cases since 2012 in order to appeal for individual DRG-corrections to InEK. In the current project this database was used to investigate whether the cost of care at University Hospitals is appropriately reflected in three representative DRGs and OPS codes (operation and procedure codes): Liver cirrhosis with hepatic encephalopathy, endoscopic procedure-tiers, and an endoscopic intervention after patient transfer from one hospital to another. The analysis reveals that the higher patient complexity, severity and cost at University Hospitals cannot be corrected by modification or further differentiation of individual DRGs within the existing G-DRG-system. Even in DRGs for which a differentiation would be possible and economically appropriate it is often not permitted. A further rise of the systematic deficit of German University Hospitals (currently 300 Mio. Euro annually) can only be prevented by introducing either a case-based DRG-System-Surcharge for University Hospitals or by separation of a University Hospital U-DRG-System from the general G-DRG-System."
17,"T. Persigehl, M. Baumhauer, B. Baeßler, LP. Beyer, M. Bludau, C. Bruns, AC. Bunck, CT. Germer, L. Grenacher, T. Hackländer, S. Haneder, S. Heinrich, P. Heusch, M. Hoffmann, MS. Juchems, JR. Kröger, E. Kotter, G. Layer, D. Maintz, J. Menke, M. Palmowski, D. Pantelis, D. Pinto Dos Santos, FC. Popp, N. Schäfer, HP. Schlemmer, AG. Schreyer, F. Siedek, D. Stippel, M. Völker, DT. Waldschmidt, TF. Weber, M. von Winterfeld, C. Wybranski, T. Zander and J. Wessling, ","""Structured Reporting of Solid and Cystic Pancreatic Lesions in CT and MRI: Consensus-Based Structured Report Templates of the German Society of Radiology (DRG)."", ",RoFo : Fortschritte auf dem Gebiete der Rontgenstrahlen und der Nuklearmedizin ,192(7) ,(Jul. 2020). ,PUBMED: 32615626; ,DOI 10.1055/a-1150-8217.," Radiological reports of pancreatic lesions are currently widely formulated as free texts. However, for optimal characterization, staging and operation planning, a wide range of information is required but is sometimes not captured comprehensively. Structured reporting offers the potential for improvement in terms of completeness, reproducibility and clarity of interdisciplinary communication."
18,"AC. Nanivadekar, CA. Ayers, RA. Gaunt, DJ. Weber and LE. Fisher, ","""Selectivity of afferent microstimulation at the DRG using epineural and penetrating electrode arrays."", ",Journal of neural engineering ,17(1) ,(Dec. 2019). ,PUBMED: 31577993; ,DOI 10.1088/1741-2552/ab4a24.,"We have shown previously that microstimulation of the lumbar dorsal root ganglia (L5-L7 DRG) using penetrating microelectrodes, selectively recruits distal branches of the sciatic and femoral nerves in an acute preparation. However, a variety of challenges limit the clinical translatability of DRG microstimulation via penetrating electrodes. For clinical translation of a DRG somatosensory neural interface, electrodes placed on the epineural surface of the DRG may be a viable path forward. The goal of this study was to evaluate the recruitment properties of epineural electrodes and compare their performance with that of penetrating electrodes. Here, we compare the number of selectively recruited distal nerve branches and the threshold stimulus intensities between penetrating and epineural electrode arrays."
19,"CC. Liu, XS. Zhang, YT. Ruan, ZX. Huang, SB. Zhang, M. Liu, HJ. Luo, SL. Wu and C. Ma, ","""Accumulation of methylglyoxal increases the advanced glycation end-product levels in DRG and contributes to lumbar disk herniation-induced persistent pain."", ",Journal of neurophysiology ,118(2) ,(Aug. 2017). ,PUBMED: 28615337; ,DOI 10.1152/jn.00745.2016.,"Lumbar disk herniation (LDH) with discogenic low back pain and sciatica is a common and complicated musculoskeletal disorder. The underlying mechanisms are poorly understood, and there are no effective therapies for LDH-induced pain. In the present study, we found that the patients who suffered from LDH-induced pain had elevated plasma methylglyoxal (MG) levels. In rats, implantation of autologous nucleus pulposus (NP) to the left lumbar 5 spinal nerve root, which mimicked LDH, induced mechanical allodynia, increased MG level in plasma and dorsal root ganglion (DRG), and enhanced the excitability of small DRG neurons (<30 μm in diameter). Intrathecal injection of MG also induced mechanical allodynia, and its application to DRG neurons ex vivo increased the number of action potentials evoked by depolarizing current pulses. Furthermore, inhibition of MG accumulation by aminoguanidine attenuated the enhanced excitability of small DRG neurons and the mechanical allodynia induced by NP implantation. In addition, NP implantation increased levels of advanced glycation end products (AGEs) in DRG, and intrathecal injection of MG-derived AGEs induced the mechanical allodynia and DRG neuronal hyperactivity. Intrathecal injection of MG also significantly increased the expression of AGEs in DRG. Importantly, scavenging of MG by aminoguanidine also attenuated the increase in AGEs induced by NP implantation. These results suggested that LDH-induced MG accumulation contributed to persistent pain by increasing AGE levels. Thus generation of AGEs from MG may represent a target for treatment of LDH-induced pain.NEW & NOTEWORTHY Our study demonstrates that methylglyoxal accumulation via increasing advanced glycation end-product levels in dorsal root ganglion contributes to the persistent pain induced by lumbar disk herniation, which proposed potential targets for the treatment of lumbar disk herniation-induced persistent pain."
